[11/08/23, 12:07:11 PM] VIT AP. (cse) Freshers place🥳🥳🥳🥳🥳: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. 
[11/08/23, 12:07:11 PM] ~ TanK-human: ‎~ TanK-human created this group 
[19/08/23, 9:32:13 PM] ~ K.Parthiv: Yess
[19/08/23, 9:32:25 PM] ~ 𝔸𝕕𝕚𝕥𝕪𝔸: Or maybe they just advertising themselves to create fomo
[19/08/23, 9:32:34 PM] Harsh Kumar: Parthiv !
[19/08/23, 9:32:40 PM] Harsh Kumar: Joining in valo ?
[19/08/23, 9:32:45 PM] ~ 𝔸𝕕𝕚𝕥𝕪𝔸: Kaun itna jaldi paise dega??
[19/08/23, 9:32:55 PM] ~ K.Parthiv: Not now bro relatives at home
[19/08/23, 9:32:59 PM] ~ K.Parthiv: Small kids too
[19/08/23, 9:33:04 PM] Harsh Kumar: Okay
[19/08/23, 9:33:16 PM] ~ K.Parthiv: Rich ppl
[19/08/23, 9:33:29 PM] Harsh Kumar: More like dumb
[19/08/23, 9:33:44 PM] ~ K.Parthiv: That too
‎[19/08/23, 9:41:20 PM] ~ Aashutosh: ‎GIF omitted
[19/08/23, 9:41:21 PM] ~ Aashutosh: ‎This message was deleted.
[19/08/23, 9:56:30 PM] ~ Anish: Bro
[19/08/23, 9:59:47 PM] ~ K.Parthiv: ‎This message was deleted.
[19/08/23, 10:00:16 PM] ~ K.Parthiv: ‎This message was deleted.
[19/08/23, 10:01:05 PM] ~ Shiven: Who tf is this popular guy?
[19/08/23, 10:01:19 PM] ~ Shiven: Both grps are filled with chats abt him 🗿
[19/08/23, 10:01:20 PM] ~ K.Parthiv: Idk ask anish
[19/08/23, 10:01:31 PM] ~ Anish: Idk too
[19/08/23, 10:01:36 PM] ~ Shiven: Lmao
[19/08/23, 10:01:39 PM] ~ Shiven: 😂
[19/08/23, 10:01:53 PM] ~ K.Parthiv: Then ask touseef khan
[19/08/23, 10:01:56 PM] ~ Kushal Kandula: Oh
[19/08/23, 10:02:12 PM] ~ Anish: Yes
[19/08/23, 10:02:39 PM] ~ Shiven: Nah.. leave it.. who cares 🤷
[19/08/23, 10:17:13 PM] ~ Vishal: 😂😂
[19/08/23, 10:17:24 PM] ~ Vishal: I just entered iron 3
[19/08/23, 10:26:33 PM] ~ Rohith: ‎~ Rohith joined from the community
[19/08/23, 10:26:56 PM] ~ ~sakthi~®️: ‎~ ~sakthi~®️ joined from the community
[19/08/23, 10:27:03 PM] ~ ....: ‎~ .... joined from the community
[19/08/23, 10:27:05 PM] ~ ROHIT SHAW: ‎~ ROHIT SHAW joined from the community
[19/08/23, 10:27:09 PM] ‪+91 91 0 1267 136‬: ‎‪+91 91 0 1267 136‬ joined from the community
[19/08/23, 10:27:13 PM] ~ Mohit: ‎~ Mohit joined from the community
[19/08/23, 11:15:46 PM] ~ K.Parthiv: I fell to iron 3
[19/08/23, 11:15:48 PM] ~ K.Parthiv: 🥲
[19/08/23, 11:16:14 PM] ~ Karthik: Same 🥲
[19/08/23, 11:16:57 PM] ~ K.Parthiv: Damn
[19/08/23, 11:23:45 PM] ~ Vishal: You are a one piece watcher too 
Profile pic Zoro
[19/08/23, 11:24:02 PM] ~ K.Parthiv: Yess
[20/08/23, 8:07:09 AM] ~ Soham P: Aaj khelega?
[20/08/23, 8:07:21 AM] ~ Soham P: i fell from iron 3
[20/08/23, 8:07:23 AM] ~ Soham P: to 2 😭
[20/08/23, 8:12:05 AM] ~ K.Parthiv: 😭
[20/08/23, 9:01:29 AM] Harsh Kumar: I. Got into bronze 3 😀
[20/08/23, 9:01:47 AM] ~ K.Parthiv: Damn
[20/08/23, 9:02:01 AM] Harsh Kumar: Today I will do silver
[20/08/23, 9:02:10 AM] ~ K.Parthiv: 🔥
[20/08/23, 9:02:17 AM] Harsh Kumar: Just text me ones u play
[20/08/23, 9:02:24 AM] ~ K.Parthiv: Ok
[20/08/23, 9:12:54 AM] ~ Soham P: ayo
[20/08/23, 9:12:55 AM] ~ Soham P: me too
[20/08/23, 9:12:58 AM] ~ Soham P: count me in
[20/08/23, 9:14:53 AM] ~ Kaushik😁: ??game
[20/08/23, 9:15:16 AM] ~ Soham P: hm?
[20/08/23, 9:15:42 AM] ~ Jithendra: Valorant game I think so bro
[20/08/23, 9:16:48 AM] ~ Soham P: ha
[20/08/23, 9:17:08 AM] ~ Jithendra: Ok
[20/08/23, 9:28:59 AM] Harsh Kumar: Send ur Valorant id
[20/08/23, 9:29:37 AM] ~ Soham P: MonarchX#4616
[20/08/23, 9:34:30 AM] Harsh Kumar: Cross check it ones !
‎[20/08/23, 9:34:44 AM] Harsh Kumar: ‎image omitted
[20/08/23, 9:34:53 AM] ~ Soham P: send me ur id
[20/08/23, 9:34:56 AM] ~ Soham P: mine's correct
[20/08/23, 9:35:15 AM] Harsh Kumar: RESYST #1174
[20/08/23, 9:35:45 AM] ~ Soham P: i sent u
[20/08/23, 9:40:24 AM] ~ Vishal: Add me in
[20/08/23, 9:40:44 AM] ~ Vishal: VishalCh118 
#9730
[20/08/23, 9:41:44 AM] ~ Vishal: Yepp
[20/08/23, 9:47:43 AM] ~ Soham P: aaja
[20/08/23, 9:47:46 AM] ~ Soham P: invite bheja hai
[20/08/23, 10:44:40 AM] ~ K.Parthiv: I sent
[20/08/23, 10:44:54 AM] ~ K.Parthiv: Name is kaneki
[20/08/23, 10:49:09 AM] ~ ⚡®️¥B@B⚡: ‎~ Udhay Adithya removed ~ ⚡®️¥B@B⚡
[20/08/23, 10:59:41 AM] ~ محمد ناصر: Someone got kicked 😱
[20/08/23, 10:59:55 AM] ~ Soham P: accha ok
[20/08/23, 10:59:56 AM] ~ Rohith: :(
[20/08/23, 10:59:57 AM] ~ Soham P: that was u
[20/08/23, 11:00:08 AM] ~ Soham P: waapis bhej request
[20/08/23, 11:00:16 AM] ~ محمد ناصر: Jaldi vejona bro
[20/08/23, 11:00:23 AM] ~ محمد ناصر: Mayto intezaar karta rah jaunga
[20/08/23, 11:00:45 AM] ~ Soham P: @917893243921 we playing... u wanna join?
[20/08/23, 11:01:02 AM] ~ محمد ناصر: What u playing?
[20/08/23, 11:01:07 AM] ~ Soham P: valorant
[20/08/23, 11:01:18 AM] ~ محمد ناصر: Don't even try to invite for that shitty knock off game
[20/08/23, 11:01:25 AM] ~ محمد ناصر: Come Apex legends or fortnite
[20/08/23, 11:01:28 AM] ~ محمد ناصر: Even gta online
[20/08/23, 11:01:42 AM] ~ Soham P: fortnite sux
[20/08/23, 11:01:44 AM] ~ محمد ناصر: Go n play counter man 🤤😂
[20/08/23, 11:01:52 AM] ~ Soham P: gta is good
[20/08/23, 11:01:55 AM] ~ محمد ناصر: Counter man 2 is coming soon
[20/08/23, 11:02:12 AM] ~ محمد ناصر: No it's u
[20/08/23, 11:02:44 AM] ~ Soham P: nah fortnite is bad fr
[20/08/23, 11:02:47 AM] ~ Soham P: apex is good
[20/08/23, 11:02:56 AM] ~ Soham P: csgo og
[20/08/23, 11:03:03 AM] ~ محمد ناصر: Nah it's u
[20/08/23, 11:03:15 AM] ~ محمد ناصر: Bruh u can't even crank 90s
[20/08/23, 11:03:33 AM] ~ Soham P: fortnite as a game sucks
[20/08/23, 11:03:44 AM] ~ محمد ناصر: Wakeup to reality
[20/08/23, 11:03:45 AM] ~ Soham P: they ruined it later
[20/08/23, 11:04:03 AM] ~ Soham P: sucks to be you...everyones playin
[20/08/23, 11:04:04 AM] ~ محمد ناصر: Fortnite still popular look at live player count
[20/08/23, 11:04:13 AM] ~ K.Parthiv: I only playe 3-4games on pc🥲
[20/08/23, 11:04:14 AM] ~ Soham P: look at valorant too
[20/08/23, 11:04:18 AM] ~ Soham P: the game u call "shit"
[20/08/23, 11:04:28 AM] ~ محمد ناصر: Valorant is for kids hiding in corner 😂
[20/08/23, 11:04:33 AM] ~ K.Parthiv: Gta5,vqlorant,assasins creed
[20/08/23, 11:04:42 AM] ~ Soham P: fortnite was good at a time
[20/08/23, 11:04:43 AM] ~ Soham P: not anymore
[20/08/23, 11:04:55 AM] ~ محمد ناصر: Still the same games just not for nubs
[20/08/23, 11:05:03 AM] ~ محمد ناصر: Cuz everyone is too good no place for nubs
[20/08/23, 11:05:06 AM] ~ Soham P: gta 5 peak
[20/08/23, 11:05:14 AM] ~ Soham P: thats csgo
[20/08/23, 11:05:27 AM] ~ Vaibhav Prakash: who is HITMAN???
[20/08/23, 11:05:29 AM] ~ Vaibhav Prakash: in valo??
[20/08/23, 11:05:38 AM] ~ Vaibhav Prakash: sent me a request
[20/08/23, 11:05:55 AM] ~ محمد ناصر: Valorant dudu game League and counter man had a baby 😂
[20/08/23, 11:06:17 AM] ~ محمد ناصر: League+counter man=valorant
[20/08/23, 11:06:20 AM] ~ Udhay Adithya: UdhayFtw #60FPS
[20/08/23, 11:06:24 AM] ~ Udhay Adithya: Add me in valo
[20/08/23, 11:06:32 AM] ~ محمد ناصر: Only 60fps 😞
[20/08/23, 11:06:37 AM] ~ Vaibhav Prakash: and kids play fortnite
[20/08/23, 11:06:43 AM] ~ Vaibhav Prakash: shit= fortnite
[20/08/23, 11:06:48 AM] ~ محمد ناصر: Make it 300hz
[20/08/23, 11:07:01 AM] ~ محمد ناصر: Nah u suck
[20/08/23, 11:07:13 AM] ~ محمد ناصر: Can't even get a single kill
[20/08/23, 11:07:26 AM] ~ محمد ناصر: Playing valo hiding in corner like Harry Potter 😂
[20/08/23, 11:07:48 AM] ~ Vaibhav Prakash: I don't hide
[20/08/23, 11:07:52 AM] ~ Vaibhav Prakash: never
[20/08/23, 11:07:59 AM] ~ محمد ناصر: U do don't lie
[20/08/23, 11:08:03 AM] ~ Vaibhav Prakash: its called holding angle
[20/08/23, 11:08:15 AM] ~ محمد ناصر: Valo is designed to play like biggest losers
[20/08/23, 11:08:16 AM] ~ Vaibhav Prakash: there is nothing like camping in valo
[20/08/23, 11:08:35 AM] ~ Vaibhav Prakash: who don't u hop on and do a 1v1m
[20/08/23, 11:08:36 AM] ~ Vaibhav Prakash: ?
[20/08/23, 11:08:45 AM] ~ محمد ناصر: Bar raised for videogame is so low rn people praising valo💀
[20/08/23, 11:08:55 AM] ~ محمد ناصر: Go n play overwatch 2
[20/08/23, 11:09:03 AM] ~ محمد ناصر: Quality PvP shooter
[20/08/23, 11:09:32 AM] ~ Vaibhav Prakash: 😂😂😂
[20/08/23, 11:09:44 AM] ~ Vaibhav Prakash: worst game voted on steam 😂😂
[20/08/23, 11:09:46 AM] ~ Vaibhav Prakash: 😂😂😂
[20/08/23, 11:10:03 AM] ~ محمد ناصر: I understand u r the same person who hold objective in cod
[20/08/23, 11:10:10 AM] ~ Vaibhav Prakash: yup
[20/08/23, 11:10:15 AM] ~ محمد ناصر: I hope u even know the reason behind it
[20/08/23, 11:10:25 AM] ~ Vaibhav Prakash: bcz its just trash
[20/08/23, 11:10:36 AM] ~ Vaibhav Prakash: its the exact copy of ow
[20/08/23, 11:10:40 AM] ~ محمد ناصر: See new gamer spotted
[20/08/23, 11:10:59 AM] ~ محمد ناصر: Overwatch 2 is more like overwatch 0.85
[20/08/23, 11:11:15 AM] ~ محمد ناصر: Still better thn valo
[20/08/23, 11:13:57 AM] ~ Vaibhav Prakash: 😂
[20/08/23, 11:14:16 AM] ~ محمد ناصر: Jokes aside bro
[20/08/23, 11:14:23 AM] ~ محمد ناصر: U can enjoy anything bro
[20/08/23, 11:14:28 AM] ~ محمد ناصر: I was just playing with u
[20/08/23, 11:15:14 AM] ~ Vaibhav Prakash: okay
[20/08/23, 11:15:17 AM] ~ Vaibhav Prakash: 😂
[20/08/23, 11:15:33 AM] ~ محمد ناصر: Still valorant sucks 😂🤤
[20/08/23, 11:16:00 AM] ~ محمد ناصر: I don't like hiding in corner I'm more like doom guy
[20/08/23, 11:16:06 AM] ~ محمد ناصر: Go crazy go stupid
[20/08/23, 4:03:26 PM] ~ TanK-human: https://youtu.be/2Ts-MaVkRu8
[20/08/23, 5:37:24 PM] ~ Udveet P. Patil: This is going to happen?
[20/08/23, 5:38:50 PM] ~ Balaji Balu: Bro recognises everything faster than anyone
[20/08/23, 5:41:15 PM] ~ K.Parthiv: 😂
[20/08/23, 5:43:11 PM] ~ AbnaV: Ofc
[20/08/23, 6:25:05 PM] ~ Swapnaneel Sarkar: ‎~ Swapnaneel Sarkar joined from the community
[20/08/23, 6:25:08 PM] ~ Mritunjay Sharma: ‎~ Mritunjay Sharma joined from the community
[20/08/23, 6:24:53 PM] ~ TanK-human: Absolutely
[20/08/23, 7:13:34 PM] ~ TanK-human: https://youtu.be/7hWwy0PzVG0
[20/08/23, 7:18:26 PM] ~ TanK-human: https://youtube.com/shorts/9BoULq90Z1A?feature=share
[20/08/23, 7:25:40 PM] ~ Ayush: That looks fun
[20/08/23, 7:26:40 PM] ~ 𝔸𝕕𝕚𝕥𝕪𝔸: Unless you're the one being trashed
‎[20/08/23, 7:35:09 PM] ~ TanK-human: ‎Contact card omitted
[20/08/23, 7:43:07 PM] ~ Ayush: Yup
[20/08/23, 9:45:20 PM] ~ Preeth: ‎~ Preeth joined from the community
[20/08/23, 9:45:27 PM] ~ Aditya D 🧿: ‎~ Aditya D 🧿 joined from the community
[20/08/23, 9:45:29 PM] ~ Palgun Sai: ‎~ Palgun Sai joined from the community
[20/08/23, 9:45:35 PM] ~ Chaitu: ‎~ Chaitu joined from the community
[20/08/23, 9:45:39 PM] ~ Satya Reddy: ‎~ Satya Reddy joined from the community
[20/08/23, 9:45:42 PM] ~ Sai: ‎~ Sai joined from the community
[20/08/23, 9:46:41 PM] ~ TanK-human: Well, I posted it just for fun. Not to scare anyone
[20/08/23, 9:49:44 PM] ~ Udveet P. Patil: ???
[20/08/23, 9:49:49 PM] ~ Udveet P. Patil: What did I recognise?
[20/08/23, 9:55:35 PM] ~ Udveet P. Patil: I didn't watch the video
[20/08/23, 9:55:44 PM] ~ Udveet P. Patil: Understandable that it surely will
[21/08/23, 1:36:00 PM] ~ Satya Reddy: Hi everyone! 

This community is for members to get information related to the *training & study materials, job listings, career advice and counselling*

https://chat.whatsapp.com/CCNJxtjryaT7UtMGSVVY9V

Note:- For more help reach out admin.
[21/08/23, 1:37:16 PM] ~ TanK-human: Who are you ?
[21/08/23, 1:37:38 PM] ~ Rohith: Businessman
‎[21/08/23, 1:37:54 PM] ~ Jithendra: ‎sticker omitted
‎[21/08/23, 1:38:29 PM] ~ Rohith: ‎sticker omitted
‎[21/08/23, 1:38:39 PM] ~ Jithendra: ‎sticker omitted
[21/08/23, 1:45:46 PM] ~ TanK-human: ‎~ TanK-human changed the settings so only admins can edit the group settings
‎[21/08/23, 1:39:22 PM] ~ Rohith: ‎sticker omitted
[21/08/23, 1:39:28 PM] ~ TanK-human: What business?
Cotton business ?
[21/08/23, 1:39:44 PM] ~ TanK-human: Yo shut
[21/08/23, 1:39:59 PM] ~ Rohith: ?
[21/08/23, 1:40:21 PM] ~ TanK-human: Not here
[21/08/23, 1:40:37 PM] ~ Rohith: Kya not here
[21/08/23, 1:43:16 PM] ~ TanK-human: No shit here
[21/08/23, 1:43:33 PM] ~ Jithendra: Ok
[21/08/23, 1:44:07 PM] ~ Rohith: Kuch bura bhi nhi bola to tuje kya hua yaar ‎<This message was edited>
[21/08/23, 1:45:03 PM] ~ Shiven: 😂😂
[21/08/23, 1:46:18 PM] ~ TanK-human: Just checking, can anyone text here?
[21/08/23, 1:46:28 PM] ~ TanK-human: Anyone else
[21/08/23, 1:46:33 PM] ~ Karthik: ?
[21/08/23, 1:57:44 PM] ~ TanK-human: Kl
[21/08/23, 1:57:47 PM] ~ TanK-human: Kk
[21/08/23, 5:27:47 PM] ~ Knk Praneesh: ‎~ Knk Praneesh joined from the community
[21/08/23, 5:45:01 PM] ~ TanK-human: https://youtu.be/7_JHTxsC_8U
‎[21/08/23, 5:51:19 PM] ~ ....: ‎image omitted
‎[21/08/23, 5:51:20 PM] ~ ....: ‎image omitted
[21/08/23, 9:55:31 PM] ~ Shiven: Thanks for this bro 🙂
[22/08/23, 2:58:51 AM] ~ KANISHK_PAL: Add +91 94516 45973
[22/08/23, 10:47:13 AM] ~ محمد ناصر: 63
[22/08/23, 11:01:37 AM] ~ Jithendra: 63 means what bro
[22/08/23, 11:01:47 AM] ~ Jithendra: ⁉️
[22/08/23, 11:02:37 AM] ~ محمد ناصر: Addition
[22/08/23, 11:02:45 AM] ~ محمد ناصر: Add
‎[22/08/23, 11:03:06 AM] ~ Jithendra: ‎sticker omitted
‎[22/08/23, 11:03:13 AM] ~ Jithendra: ‎sticker omitted
‎[22/08/23, 11:12:04 AM] ~ محمد ناصر: ‎image omitted
[22/08/23, 11:12:09 AM] ~ محمد ناصر: Who are these people
[22/08/23, 11:13:06 AM] ~ Jithendra: Don’t know bro
[22/08/23, 11:13:24 AM] ~ محمد ناصر: Check ur contact
[22/08/23, 11:14:12 AM] ~ Jithendra: Not there bro you only saved in your contact think so bro once check in what’s app chat
[22/08/23, 11:14:42 AM] ~ محمد ناصر: Did u add ur Gmail in phone provided by vit?
[22/08/23, 11:14:54 AM] ~ Jithendra: No bro
[22/08/23, 11:15:01 AM] ~ محمد ناصر: That's why
[22/08/23, 11:15:03 AM] ~ Jithendra: We need to add aa
[22/08/23, 11:15:03 AM] ~ محمد ناصر: Go n add
[22/08/23, 11:15:14 AM] ~ Jithendra: Ohhh ok bro
[22/08/23, 11:15:17 AM] ~ محمد ناصر: They didn't give u for showoff 😂
[22/08/23, 11:15:27 AM] ~ Jithendra: Ok
[22/08/23, 11:17:24 AM] ~ Jithendra: Bro are they keeping in that mail anything 🤔
[22/08/23, 11:18:37 AM] ~ محمد ناصر: What??
[22/08/23, 11:20:24 AM] ~ Jithendra: Are vit management are keeping any mail that they are given
[22/08/23, 11:20:41 AM] ~ محمد ناصر: No u can change password
[22/08/23, 11:20:49 AM] ~ محمد ناصر: And they suggested to do do
[22/08/23, 11:20:52 AM] ~ محمد ناصر: So*
[22/08/23, 11:21:01 AM] ~ Jithendra: Ok🙁
[22/08/23, 1:43:22 PM] ~ Saisridhar: Jst ignore
[22/08/23, 1:44:50 PM] ~ K.Parthiv: No
[22/08/23, 1:46:29 PM] ~ Jithendra: Ok ‎<This message was edited>
[22/08/23, 1:50:20 PM] ~ Shanmukh: These contacts are vitap workspace
[22/08/23, 2:14:15 PM] ~ Swapnaneel Sarkar: These r 3rd year seniors
[22/08/23, 2:46:06 PM] ~ ADITI😫: ‎~ ADITI😫 joined from the community
[22/08/23, 4:12:14 PM] ~ AV: ‎~ AV joined from the community
[22/08/23, 5:35:18 PM] ~ laasya: ‎~ laasya joined from the community
[22/08/23, 5:35:25 PM] ~ Farook Khan💛: ‎~ Farook Khan💛 joined from the community
[23/08/23, 10:35:53 AM] ~ Zoro: ‎~ Zoro joined from the community
‎[23/08/23, 10:35:22 AM] ~ TanK-human: ‎image omitted
[23/08/23, 11:09:14 AM] ~ Jithendra: Bro any one from Bhavanipuram
[23/08/23, 11:10:38 AM] ~ Jithendra: Or KR Market or 1town
[23/08/23, 11:50:38 AM] ~ TanK-human: ‎POLL:
Where in VIJ?
‎OPTION: Bhavani puram (2 votes)
‎OPTION: 1 Town (3 votes)
‎OPTION: Ntr circle (1 vote)
‎OPTION: Kanuru (3 votes)
‎OPTION: Edupugallu (2 votes)
‎OPTION: Other area (please specify) (6 votes)
‎OPTION: Not in VIJ (32 votes)
[23/08/23, 11:53:06 AM] ~ Kaushik😁: Undavalli..
[23/08/23, 3:29:40 PM] ~ Sanapala Saimani: VIJ means
[23/08/23, 3:29:55 PM] ~ K.Parthiv: Vijayawada
[23/08/23, 3:30:03 PM] ~ Sanapala Saimani: Ok
[23/08/23, 3:30:10 PM] ~ Shiven: VJ sounds better 🗿
[23/08/23, 3:30:37 PM] ~ Sanapala Saimani: Yeah
[23/08/23, 3:30:54 PM] Harsh Kumar: Are we supposed to like report to the hostel on 8th and attend the orientation the same day how  ?
[23/08/23, 3:31:15 PM] ~ Shiven: Me who is reaching there on 6th 🗿
[23/08/23, 3:31:18 PM] ~ Sanapala Saimani: They will let you know
[23/08/23, 3:31:37 PM] Harsh Kumar: They won’t let u enter the hostel ig ?
[23/08/23, 3:33:07 PM] ~ Sanapala Saimani: Are you staying in any hotel or else booked guest house
[23/08/23, 3:33:20 PM] ~ Sanapala Saimani: In clg
[23/08/23, 3:33:21 PM] Harsh Kumar: Most probably hotel only
[23/08/23, 3:33:31 PM] Harsh Kumar: Nah bro that’s way to expensive
[23/08/23, 3:33:55 PM] ~ Harish: Hi bro
[23/08/23, 3:34:04 PM] ~ Harish: Which state you belong to bro
[23/08/23, 3:34:09 PM] Harsh Kumar: Bihar
[23/08/23, 3:34:14 PM] ~ Harish: Oh wow
[23/08/23, 3:34:21 PM] ~ Harish: When you are coming bro
[23/08/23, 3:34:30 PM] Harsh Kumar: Arriving on 7th
[23/08/23, 3:34:36 PM] ~ Harish: Oh wow
[23/08/23, 3:34:40 PM] ~ Harish: That's good
[23/08/23, 3:34:46 PM] Harsh Kumar: What about u
[23/08/23, 3:34:55 PM] ~ Harish: Vijayawada bro
[23/08/23, 3:34:59 PM] ~ Harish: Day scholar
[23/08/23, 3:35:05 PM] Harsh Kumar: Ohh Great
[23/08/23, 3:35:16 PM] Harsh Kumar: Are there any good hotels in VJ ?
[23/08/23, 3:35:26 PM] ~ Harish: Ha everyday 40 minutes journey bro
[23/08/23, 3:35:42 PM] ~ Harish: Many are there bro
[23/08/23, 3:35:45 PM] Harsh Kumar: They provide bus also n !
[23/08/23, 3:35:48 PM] ~ Shiven: Guest house
[23/08/23, 3:35:53 PM] ~ Harish: Ha bro
[23/08/23, 3:36:00 PM] Harsh Kumar: Great !
[23/08/23, 3:36:06 PM] ~ Shiven: Bro... U hv an iphone 🗿
[23/08/23, 3:36:17 PM] ~ Harish: Which hotel u are planning to stay bro
[23/08/23, 3:36:40 PM] Harsh Kumar: 🥹🥹🥹
[23/08/23, 3:36:50 PM] ~ Harish: And how will you go to campus bro
[23/08/23, 3:36:57 PM] ~ Shiven: Sell it nd u can stay in the guest house for atleast a month 😂
[23/08/23, 3:37:06 PM] Harsh Kumar: No idea most probably will book a cab
[23/08/23, 3:37:15 PM] ~ Shiven: That too premium suit 🗿
[23/08/23, 3:37:20 PM] Harsh Kumar: 😂😂nah I am good
[23/08/23, 3:37:27 PM] ~ Shiven: Yaa.. cab only right 😂
[23/08/23, 3:37:31 PM] ~ Harish: Oh good bro
[23/08/23, 3:37:35 PM] ~ Shiven: Joking bruh... Which iphone btw?
[23/08/23, 3:37:47 PM] Harsh Kumar: 11 pro max
[23/08/23, 3:38:00 PM] ~ Shiven: Wow... Richie 🤑
[23/08/23, 3:38:19 PM] Harsh Kumar: Actually papa brought it from Dubai and it’s not that expensive there
[23/08/23, 3:38:43 PM] Harsh Kumar: It’s these import duties on the phones and stuff that makes it expensive
[23/08/23, 3:39:14 PM] ~ Shiven: Ohh yaya.. its pretty cheap in dubai
[23/08/23, 3:39:26 PM] Harsh Kumar: Haa that’s y
[23/08/23, 3:39:54 PM] ~ Shiven: I too bought samsung tab for 26k inr... Although its easily 40k
[23/08/23, 3:40:01 PM] ~ Shiven: From america 🤞
[23/08/23, 3:40:08 PM] Harsh Kumar: Good for u
[23/08/23, 3:47:23 PM] ~ Abhinav: I stayed at minerva in vijaywada 4k per night so kinda affordable for 2 days ...decent place and 25 mins away from college
[23/08/23, 3:47:49 PM] Harsh Kumar: Seems good Thankyou very much
[23/08/23, 3:48:12 PM] ~ Abhinav: Which branch ?
[23/08/23, 3:48:26 PM] Harsh Kumar: CSE
[23/08/23, 3:48:30 PM] ~ Harish: Bro u
[23/08/23, 3:48:34 PM] ~ Abhinav: Core?
[23/08/23, 3:48:41 PM] ~ Abhinav: Cse core
[23/08/23, 3:48:46 PM] Harsh Kumar: Yes
[23/08/23, 3:48:52 PM] ~ Harish: Oh I am csbs
[23/08/23, 3:49:07 PM] ~ Abhinav: Sahi h bhai ... college mei milenge 🤝
[23/08/23, 3:49:21 PM] Harsh Kumar: Sure
[23/08/23, 3:49:34 PM] ~ Abhinav: Nice bro ...
[23/08/23, 3:50:26 PM] ~ K.Parthiv: Even for this u shld sell ur phone ig😂
[23/08/23, 3:50:47 PM] Harsh Kumar: Thik h bhai mein beech hi deta hu 🙂
[23/08/23, 3:51:22 PM] ~ K.Parthiv: 😂
[23/08/23, 3:51:26 PM] Harsh Kumar: And why aren’t u playing valo ?
[23/08/23, 3:51:35 PM] Harsh Kumar: Long time no see ?
[23/08/23, 3:51:41 PM] ~ K.Parthiv: I played afternoon
[23/08/23, 3:51:53 PM] Harsh Kumar: Bhai text kr diya kr yaar
[23/08/23, 3:52:04 PM] ~ K.Parthiv: But idk y i get service unavailable for frnds and chat
[23/08/23, 3:52:11 PM] ~ K.Parthiv: Isliye nahi txt kiya
[23/08/23, 3:53:00 PM] Harsh Kumar: Haa wo  
Server maintenance  chl  rha tha
[23/08/23, 3:53:38 PM] ~ K.Parthiv: Ohh
[23/08/23, 3:53:50 PM] ~ K.Parthiv: Kal khelte hai
[23/08/23, 3:54:34 PM] Harsh Kumar: Sure
[23/08/23, 4:15:42 PM] ~ TanK-human: Just search online bro
[23/08/23, 4:15:57 PM] ~ AbnaV: Ikr
[23/08/23, 4:16:00 PM] ~ TanK-human: You may get more
[23/08/23, 4:31:24 PM] Harsh Kumar: Yes true but it’s always a good idea to ask someone local
‎[23/08/23, 4:36:13 PM] ~ SM😎: Web Development Free Resources.pdf • ‎2 pages ‎document omitted
[23/08/23, 4:36:14 PM] ~ SM😎: Guys somebody was asking for Web Development Notes...Here is it.
[23/08/23, 4:36:14 PM] ~ SM😎: IF Someone wants to learn web development and AI from scratch then you can go for it
[23/08/23, 4:36:14 PM] ~ SM😎: https://forms.gle/Ad8Ke8EMWTXyub4A6
[23/08/23, 4:36:47 PM] ~ SM😎: @919182750867 You were asking for Cse notes right...
[23/08/23, 4:37:00 PM] ~ SM😎: You can go through it
[23/08/23, 5:46:27 PM] ~ Mounish Ghattamaneni: ‎~ Mounish Ghattamaneni joined from the community
[23/08/23, 5:46:28 PM] ~ Shreeniwas: ‎~ Shreeniwas joined from the community
[23/08/23, 5:46:31 PM] ~ Tridib: ‎~ Tridib joined from the community
[23/08/23, 5:46:33 PM] Samradh : ‎Samradh  joined from the community
[23/08/23, 5:46:34 PM] ~ Shaurya Mudgal: ‎~ Shaurya Mudgal joined from the community
[23/08/23, 5:46:41 PM] ~ Umesh Meena: ‎~ Umesh Meena joined from the community
[23/08/23, 5:46:51 PM] ~ Shrey: ‎~ Shrey joined from the community
[24/08/23, 10:45:25 AM] ‪+91 70750 31545‬: ‎‪+91 70750 31545‬ joined from the community
[24/08/23, 10:45:29 AM] ~ Sagnik Ray: ‎~ Sagnik Ray joined from the community
[24/08/23, 10:54:56 AM] ~ Pankaj Kumar: ‎~ Pankaj Kumar joined from the community
[24/08/23, 10:55:00 AM] ~ .: ‎~ . joined from the community
[24/08/23, 10:55:04 AM] ~ niggesh: ‎~ niggesh joined from the community
[24/08/23, 12:51:52 PM] Harsh Kumar: Anyone got any info on Hostel room ?
[24/08/23, 12:52:04 PM] ~ Udveet P. Patil: What info?
‎[24/08/23, 12:52:11 PM] ~ Sankar: ‎image omitted
[24/08/23, 12:52:57 PM] Harsh Kumar: Like room allotment ? And roommate info ?
[24/08/23, 12:53:13 PM] ~ Udveet P. Patil: According to the recent mail
[24/08/23, 12:53:18 PM] Harsh Kumar: I did see this no mention of that
[24/08/23, 12:53:23 PM] ~ Udveet P. Patil: It will be updated on your VTOP
[24/08/23, 12:53:29 PM] ~ Udveet P. Patil: Whilst boarding time
